单词等级,单词,词典
A1,a,"{""word"": ""a"", ""definitions"": [{""part_of_speech"": ""other"", ""meaning"": {""english"": ""Used before singular nouns to indicate that the noun is indefinite."", ""chinese"": ""用于单数名词前，表示该名词是不确定的。""}, ""example_sentences"": [{""english"": ""I saw a cat."", ""chinese"": ""我看见了一只猫。""}]}], ""forms"": {}}"
A1,about,"{""word"": ""about"", ""definitions"": [{""part_of_speech"": ""adverb"", ""meaning"": {""english"": ""approximately; used to show that something is not exact"", ""chinese"": ""大约；用于表示某事物不精确""}, ""example_sentences"": [{""english"": ""It's about 5 o'clock."", ""chinese"": ""大约是5点钟。""}]}, {""part_of_speech"": ""preposition"", ""meaning"": {""english"": ""used to show movement within an area"", ""chinese"": ""用于表示在某区域内移动""}, ""example_sentences"": [{""english"": ""She walked about the park."", ""chinese"": ""她在公园里走来走去。""}]}], ""forms"": {}}"
A1,above,"{""word"": ""above"", ""definitions"": [{""part_of_speech"": ""preposition"", ""meaning"": {""english"": ""in or to a higher position than"", ""chinese"": ""在…上方""}, ""example_sentences"": [{""english"": ""The plane flew above the clouds."", ""chinese"": ""飞机在云层上方飞行。""}]}, {""part_of_speech"": ""adverb"", ""meaning"": {""english"": ""in or to a higher position"", ""chinese"": ""在上面""}, ""example_sentences"": [{""english"": ""The stars were shining brightly above."", ""chinese"": ""星星在上面闪烁。""}]}, {""part_of_speech"": ""adjective"", ""meaning"": {""english"": ""greater in number, amount, or degree"", ""chinese"": ""更多的，更大的""}, ""example_sentences"": [{""english"": ""The temperature was above average."", ""chinese"": ""温度高于平均水平。""}]}], ""forms"": {}}"
A1,across,"{""word"": ""across"", ""definitions"": [{""part_of_speech"": ""adverb"", ""meaning"": {""english"": ""from one side to the other of something with clear limits, such as an area of land, a road, or a river"", ""chinese"": ""从一边到另一边，横过""}, ""example_sentences"": [{""english"": ""He walked across the street."", ""chinese"": ""他走过马路。""}]}, {""part_of_speech"": ""preposition"", ""meaning"": {""english"": ""from one side to the other of something with clear limits, such as an area of land, a road, or a river"", ""chinese"": ""从一边到另一边，横过""}, ""example_sentences"": [{""english"": ""She swam across the river."", ""chinese"": ""她游过河。""}]}], ""forms"": {}}"
A1,action,"{""word"": ""action"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""The process of doing something, typically to achieve an aim."", ""chinese"": ""行动，行为，活动""}, ""example_sentences"": [{""english"": ""She took action to solve the problem."", ""chinese"": ""她采取行动来解决问题。""}], ""synonyms"": [""activity"", ""deed""], ""antonyms"": [""inaction""]}], ""forms"": {""noun"": {""singular"": ""action"", ""plural"": ""actions""}}}"
A1,activity,"{""word"": ""activity"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""The state of being active or the amount of activity involved in a particular area or thing."", ""chinese"": ""活动的状态或特定领域或事物中的活动量。""}, ""example_sentences"": [{""english"": ""The school offers a variety of activities for students."", ""chinese"": ""学校为学生提供各种活动。""}, {""english"": ""There was a lot of activity in the park today."", ""chinese"": ""今天公园里有很多活动。""}], ""synonyms"": [""action"", ""movement""], ""antonyms"": [""inactivity"", ""rest""]}], ""forms"": {""noun"": {""singular"": ""activity"", ""plural"": ""activities""}}}"
A1,actor,"{""word"": ""actor"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""a person who performs in plays, films, or television"", ""chinese"": ""演员""}, ""example_sentences"": [{""english"": ""She is a famous actor."", ""chinese"": ""她是一位著名的演员。""}]}], ""forms"": {""noun"": {""singular"": ""actor"", ""plural"": ""actors""}}}"
A1,actress,"{""word"": ""actress"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""a female actor"", ""chinese"": ""女演员""}, ""example_sentences"": [{""english"": ""She wants to be an actress when she grows up."", ""chinese"": ""她长大后想成为一名女演员。""}]}], ""forms"": {""noun"": {""singular"": ""actress"", ""plural"": ""actresses""}}}"
A1,add,"{""word"": ""add"", ""definitions"": [{""part_of_speech"": ""verb"", ""meaning"": {""english"": ""to put something with another thing in order to increase the size, number, amount, etc."", ""chinese"": ""添加；增加""}, ""example_sentences"": [{""english"": ""Please add some sugar to the tea."", ""chinese"": ""请在茶里加些糖。""}, {""english"": ""If you add 2 and 3, you get 5."", ""chinese"": ""如果你把2和3相加，你会得到5。""}], ""synonyms"": [""increase"", ""include""], ""antonyms"": [""subtract"", ""remove""]}], ""forms"": {""verb"": {""base_form"": ""add"", ""third_person_singular"": ""adds"", ""past_tense"": ""added"", ""past_participle"": ""added"", ""present_participle"": ""adding""}}}"
A1,address,"{""word"": ""address"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""The place where someone lives or works, including the house number and street name"", ""chinese"": ""地址，住址""}, ""example_sentences"": [{""english"": ""Please write your address on the envelope."", ""chinese"": ""请在信封上写上你的地址。""}]}, {""part_of_speech"": ""verb"", ""meaning"": {""english"": ""To speak or write to someone in a formal way"", ""chinese"": ""向某人讲话或写信""}, ""example_sentences"": [{""english"": ""The president will address the nation tonight."", ""chinese"": ""总统今晚将向全国发表讲话。""}]}], ""forms"": {""noun"": {""singular"": ""address"", ""plural"": ""addresses""}, ""verb"": {""base_form"": ""address"", ""third_person_singular"": ""addresses"", ""past_tense"": ""addressed"", ""past_participle"": ""addressed"", ""present_participle"": ""addressing""}}}"
A1,adult,"{""word"": ""adult"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""A person who is fully grown or developed"", ""chinese"": ""成年人，已成熟的人""}, ""example_sentences"": [{""english"": ""He is an adult now."", ""chinese"": ""他现在是个成年人了。""}], ""synonyms"": [""grown-up""], ""antonyms"": [""child""]}, {""part_of_speech"": ""adjective"", ""meaning"": {""english"": ""Fully grown or developed"", ""chinese"": ""成年的，成熟的""}, ""example_sentences"": [{""english"": ""She has an adult attitude."", ""chinese"": ""她有成年人的态度。""}], ""synonyms"": [""mature""], ""antonyms"": [""juvenile""]}], ""forms"": {""noun"": {""singular"": ""adult"", ""plural"": ""adults""}}}"
A1,advice,"{""word"": ""advice"", ""definitions"": [{""part_of_speech"": ""noun"", ""meaning"": {""english"": ""an opinion or recommendation offered as a guide to action, conduct, or the like"", ""chinese"": ""建议；忠告""}, ""example_sentences"": [{""english"": ""Can you give me some advice on how to improve my English?"", ""chinese"": ""你能给我一些关于如何提高英语的建议吗？""}]}], ""forms"": {""noun"": {""singular"": ""advice"", ""plural"": ""advices""}}}"
